н,,,,,,,
,,,,,,,
ЗАДАНИЯ И ПРАКТИКИ ДЛЯ КУРСА МИЛАНЫ,,,,,,,
,,,,,,,
Планета,,Запрос ца,Название,Форма задания,Описание,В дизайне,
,1,Без чего не откроются уроки,Твоя точка А,Анкета,Фиксация точки А,,
,2,Как начать действовать,Я ответственна за свои результаты,Письмо намерения ответственности,"С этого дня я беру на себя ответственность за все, что происходит со мной в жизни. Я готова менять свое мышление, привычки, выполнять новые действия. Я иду в Институт для того, чтобы... Я обещаю себе на период обучения: довериться создателю программы, быть в позиции ученика, ПОЛНОСТЬЮ ВЗЯТЬ ОТВЕТСТВЕННОСТЬ ЗА СВОЙ РЕЗУЛЬТАТ В ОБУЧЕНИИ И ДАЛЕЕ, В РЕАЛИЗАЦИИ ПОЛУЧЕННЫХ ЗНАНИЙ И СЕБЯ КАК ЭКПЕРТА. Я осознаю, что для этого мне нужно будет уделять время, внимание и силы. Я осознаю, что мне необходимо будет самостоятельно применять полученные знания. Я осознаю, что быть пассивной, пропускать занятия, откладывать на потом, стесняться, бояться проявляться МНЕ НЕ ВЫГОДНО. Также я даю обещание не пребывать в состоянии жертвы. В трудных ситуациях анализировать, как я могу повлиять на ситуацию, быть благодарной и учиться быть по-настоящему полезной другим людям. Я — творец своей жизни. Я в ответе за свои мысли, чувства, поведение, решения, действия. Никто за меня ничего делать не будет. Мне никто ничего не должен. Я все сделаю, что мне нужно, в своем темпе. Я в себя верю! ",,
,3,Как реализовать себя во всех сферах жизни,,,,,
,4,,Анализ всех твоих сфер жизни,Тестирование по планетам,ссылка на документ,,
,5,"Как понять, чего я хочу",Техника определения истинного запроса,Техника «5 почему»,"1. Чего вы хотите?
2. В чем конкретно это заключается? 3. Что вам это даст? 
4. Что вы будете чувствовать, когда будете это иметь?
5. А через что еще вы можете прийти к этим ощущениям?
",,
,6,,Аватар лучшей версии себя,Практика,"Опишите аватар желаемого будущего в разных сферах: как вы живете, как выглядит ваш быт, деятельность, отношения с семьей, как вы проводите свободное время, какое у вас окружение и так далее. Опишите АВАТАР СЕБЯ, какая высшая версия вас способна создать и поддерживать такой уровнь проживания. Ответьте на вопрос: что в вас сегодня точно нужно усовершенствовать в себе как в личности и в своей текущей жизни (что добавить или от чего избавиться), чтобы прийти к той версии лучшей себя, которую вы описали? ",,
,7,,Осознанность и выход из состояния жертвы ,Практика,"Эта практика поможет вам вернуть ответственность за свою жизнь себе. Разделите лист на 3 столбца. В первом выпишите все ситуации вашей жизни, которые не нравятся: «Я недовольна тем, что...» Во втором столбце напишите свои мысли по поводу негативных суждений: «Раньше я думала, что к этому причастен (работодатель, государство, муж, генетика и т. д.». В третьем столбце напишите: «Теперь я полностью беру ответственность за происходящее на себя, я пришла к этому путем того, что...» 
",,
,8,,Избавление от лени и нерешительности,Практика,"Опишите, чего вы хотите, свои цели и желания. Как вы думаете, какие ваши черты, навыки, привычки, паттерны поведения, стиль жизни, убеждения, обстоятельства сегодня сдерживают вас от материализации этих планов? А теперь мысленно представьте, что прошло еще, например, 3 года и вы ничего так и не предприняли. А что будет, если это не исправить никогда и оставить так, как есть сейчас? После того как ответите на вопрос, напишите себе письмо намерения: «Я осознаю, что я не хочу такого будущего. Мне невыгодно бездействовать и оставлять все так как есть. Я беру всю ответственность за создание своего счастливого будущего, и я принимаю решение начать действовать прямо сегодня».   
",,
,9,,Лучший сценарий жизни,Практика,"Представьте ситуацию: у вас нет никаких страхов и блоков, нет чувства долга перед родителями, семьей, нет ограничений национального, религиозного и территориального принципа, сдерживающего окружения, нет финансовых проблем и никаких ограничений. Вы буквально пишете историю главного героя с нуля. Белый лист и самые смелые фантазии.  Вы — здоровая, танлантливая, смелая, абсолютно свободная личность. Нет никаких «но»... Из такой точки как бы вы строили свою жизнь? Чем бы она была наполнена и как бы выглядела во всех сферах? Что делаете? Как себя чувствуете? Напишите сейчас, какая она, эта жизнь. Вы — художник и творец своей реальности сейчас. Знайте, ветка реальности и все желания, что вам пришли, абсолютно реальны для воплощения. Это и есть ваши настоящие желания. Может, стоит начать движение именно к ним?
",,
"Солнце (познание себя, уверенность, личные границы, самоценность, любовь к себе)",1,Как обрести уверенность и самоценность,Проработка личных границ,"Практика, упражение","Разделите лист на два столбика. Вы можете вспомнить примеры ситуаций, где вам не нравится ваш характер взаимодействия с людьми.  В первом столбце опишите как: мне не нравится, как со мной обходятся и/или не нравится, как я позволяю со мной обходиться. Во втором столбце опишите: как я хочу, чтобы со мной поступали, как я хотела бы реагировать. Опишите и признайте, какие плюсы будут от того, что вы простроите личные границы. По завершении проговорите себе вывод: «Теперь я выбираю поступать так, как нравится и удобно мне!» При этом сожмите ладонь таким образом, чтобы пальцы ощутимо вжимались в ладонь — заякорите это решение в себе на физическом уровне. Каждый раз при возникновении ситуации, где вам важно выстроить свои личные границы, снова сжимайте ладонь и вспоминатйе о своем решении.
",,
